Unnamed: 0,N°,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO,DISPOSITIVO LEGAL DE LICENCIAMIENTO O DENEGATORIA,CONDICIÓN JURÍDICA,DIRECCION,latitude,longitude
0,1,Universidad Nacional Mayor de San Marcos,Lima,Lima,Real Cédula de Fundación,12/05/1551,Res. N° 036-2018-SUNEDU/CD,04/04/2018,Universidad publica,,,Universidad Nacional Mayor de San Marcos Lima Lima,-12.0561578,-77.0845196
1,2,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho,Huamanga,Ley N° 12828,03/07/1677,Res. N° 050-2018-SUNEDU/CD,01/06/2018,Universidad publica,,,Universidad Nacional de San Cristóbal de Huamanga Ayacucho Huamanga,-13.1612479,-74.2257722
2,3,Universidad Nacional de San Antonio Abad del Cusco,Cusco,Cusco,Real Cédula de Fundación,01/06/1692,Res. N° 059-2019-SUNEDU/CD,04/05/2019,Universidad publica,,,Universidad Nacional de San Antonio Abad del Cusco Cusco Cusco,-13.52193,-71.9583208
3,4,Universidad Nacional de Trujillo,La Libertad,Trujillo,Decreto Directoral,10/05/1824,Res. N° 127-2018-SUNEDU/CD,20/09/2018,Universidad publica,,,Universidad Nacional de Trujillo La Libertad Trujillo,-8.1150074,-79.03830479999999
4,5,Universidad Nacional de San Agustín de Arequipa,Arequipa,Arequipa,Acta de Instalación,11/11/1828,Res. N° 098-2018-SUNEDU/CD,27/08/2018,Universidad publica,,,Universidad Nacional de San Agustín de Arequipa Arequipa Arequipa,-16.3971385,-71.5371437
5,6,Universidad Nacional de Ingeniería,Lima,Lima,Ley N° 12379,19/07/1955,Res. N° 073-2017-SUNEDU/CD,28/11/2017,Universidad publica,,,Universidad Nacional de Ingeniería Lima Lima,-12.0231787,-77.04763009999999
6,7,Universidad Nacional Agraria La Molina,Lima,Lima,Ley N° 13417,08/04/1960,Res. N° 011-2017-SUNEDU/CD,20/03/2017,Universidad publica,,,Universidad Nacional Agraria La Molina Lima Lima,-12.0817493,-76.9431895
7,8,Universidad Nacional San Luis Gonzaga,Ica,Ica,Ley N° 12495,20/12/1955,,,Universidad publica,,,Universidad Nacional San Luis Gonzaga Ica Ica,-14.0871322,-75.7335148
8,9,Universidad Nacional del Centro del Perú,Junín,Huancayo,Ley N° 13827,02/01/1962,Res. N° 022-2019-SUNEDU/CD,01/03/2019,Universidad publica,,,Universidad Nacional del Centro del Perú Junín Huancayo,-12.0330575,-75.23735669999999
9,10,Universidad Nacional de la Amazonía Peruana,Loreto,Maynas,Ley N° 13498,14/01/1961,Res. N° 012-2019-SUNEDU/CD,01/02/2019,Universidad publica,,,Universidad Nacional de la Amazonía Peruana Loreto Maynas,-3.7459891,-73.24569939999999
10,11,Universidad Nacional del Altiplano,Puno,Puno,Ley N° 13516,10/02/1961,Res. N° 101-2017-SUNEDU/CD,30/12/2017,Universidad publica,,,Universidad Nacional del Altiplano Puno Puno,-15.8243805,-70.0162544
11,12,Universidad Nacional de Piura,Piura,Piura,Ley N° 13531,03/03/1961,Res. N° 058-2019-SUNEDU/CD,07/05/2019,Universidad publica,,,Universidad Nacional de Piura Piura Piura,-5.179310999999999,-80.6188325
12,13,Universidad Nacional de Cajamarca,Cajamarca,Cajamarca,Ley N° 14015,13/02/1962,Res. N° 080-2018-SUNEDU/CD,17/07/2018,Universidad publica,,,Universidad Nacional de Cajamarca Cajamarca Cajamarca,-7.167159,-78.4965043
13,14,Universidad Nacional Federico Villarreal,Lima,Lima,Ley N° 14692,30/10/1963,,,Universidad publica,,,Universidad Nacional Federico Villarreal Lima Lima,-12.0475555,-77.0404519
14,15,Universidad Nacional Agraria de la Selva,Huánuco,Leoncio Prado,Ley N° 14912,20/02/1964,Res. N° 114-2019-SUNEDU/CD,29/08/2019,Universidad publica,,,Universidad Nacional Agraria de la Selva Huánuco Leoncio Prado,-9.3140208,-75.9966689
15,16,Universidad Nacional Hermilio Valdizán de Huánuco,Huánuco,Huánuco,Ley N° 14915,20/02/1964,Res. N° 099-2019-SUNEDU/CD,26/07/2019,Universidad publica,,,Universidad Nacional Hermilio Valdizán de Huánuco Huánuco Huánuco,-9.9492894,-76.2503248
16,17,Universidad Nacional de Educación Enrique Guzmán y Valle,Lima,Lima,Ley N° 15519,07/04/1965,,,Universidad publica,,,Universidad Nacional de Educación Enrique Guzmán y Valle Lima Lima,-12.0663015,-76.9537651
17,18,Universidad Nacional Daniel Alcides Carrión,Pasco,Pasco,Ley N° 15527,23/04/1965,Res. N° 111-2019-SUNEDU/CD,22/08/2019,Universidad publica,,,Universidad Nacional Daniel Alcides Carrión Pasco Pasco,-10.668422,-76.254234
18,19,Universidad Nacional del Callao,Callao,Callao,Ley N° 16225,02/09/1966,,,Universidad publica,,,Universidad Nacional del Callao Callao Callao,-12.0613052,-77.11724869999999
19,20,Universidad Nacional José Faustino Sánchez Carrión,Lima,Huaura,Decreto Ley N° 17358,31/12/1968,,,Universidad publica,,,Universidad Nacional José Faustino Sánchez Carrión Lima Huaura,-11.1239202,-77.60824649999999
20,21,Universidad Nacional Pedro Ruiz Gallo,Lambayeque,Lambayeque,Decreto Ley N° 18179,17/03/1970,,,Universidad publica,,,Universidad Nacional Pedro Ruiz Gallo Lambayeque Lambayeque,-6.7077407,-79.9042231
21,22,Universidad Nacional Jorge Basadre Grohmann,Tacna,Tacna,Decreto Ley N° 18942,26/08/1971,Res. N° 056-2018-SUNEDU/CD,13/06/2018,Universidad publica,,,Universidad Nacional Jorge Basadre Grohmann Tacna Tacna,-18.0249985,-70.2505346
22,23,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Huaraz,Decreto Ley N° 21856,24/05/1977,Res. N° 173-2018-SUNEDU/CD,01/01/2018,Universidad publica,,,Universidad Nacional Santiago Antúnez de Mayolo Ancash Huaraz,-9.5212334,-77.5287365
23,24,Universidad Nacional de San Martín,San Martín,San Martín,Decreto Ley N° 22803,18/12/1979,Res. N° 055-2019-SUNEDU/CD,01/05/2019,Universidad publica,,,Universidad Nacional de San Martín San Martín San Martín,-34.5789316,-58.526188
24,25,Universidad Nacional de Ucayali,Ucayali,Coronel Portillo,Decreto Ley N° 22804,18/12/1979,Res. N° 149-2018-SUNEDU/CD,15/11/2018,Universidad publica,,,Universidad Nacional de Ucayali Ucayali Coronel Portillo,-8.3949316,-74.5776011
25,26,Universidad Nacional de Tumbes,Tumbes,Tumbes,Ley N° 23881,23/06/1984,,,Universidad publica,,,Universidad Nacional de Tumbes Tumbes Tumbes,-3.585267,-80.443305
26,27,Universidad Nacional del Santa,Ancash,Santa,Ley N° 24035,20/12/1984,Res. N° 028-2019-SUNEDU/CD,12/03/2019,Universidad publica,,,Universidad Nacional del Santa Ancash Santa,-9.120889499999999,-78.5133316
27,28,Universidad Nacional de Huancavelica,Huancavelica,Huancavelica,Ley N° 25265,20/06/1990,Res. N° 086-2019-SUNEDU/CD,03/07/2019,Universidad publica,,,Universidad Nacional de Huancavelica Huancavelica Huancavelica,-12.7781213,-74.9614419
28,29,Universidad Nacional Amazónica de Madre de Dios,Madre De Dios,Tambopata,Ley N° 27297,06/07/2000,,,Universidad publica,,,Universidad Nacional Amazónica de Madre de Dios Madre De Dios Tambopata,-12.5885658,-69.2095274
29,30,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Chachapoyas,Ley N° 27347,19/09/2000,Res. N° 033-2017-SUNEDU/CD,17/09/2017,Universidad publica,,,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas Amazonas Chachapoyas,-6.233540899999999,-77.8531651
30,31,Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Abancay,Ley N° 27348,27/09/2000,,,Universidad publica,,,Universidad Nacional Micaela Bastidas de Apurímac Apurímac Abancay,-13.6175533,-72.8681635
31,32,Universidad Nacional Intercultural de la Amazonía,Ucayali,Coronel Portillo,Ley N° 27250,05/01/2000,Res. N° 131-2018-SUNEDU/CD,27/09/2018,Universidad publica,,,Universidad Nacional Intercultural de la Amazonía Ucayali Coronel Portillo,-8.3478339,-74.5906663
32,33,Universidad Nacional Tecnológica de Lima Sur (*1),Lima,Lima,Ley N° 27413,01/02/2001,Res. N° 059-2018-SUNEDU/CD,21/06/2018,Universidad publica,,,Universidad Nacional Tecnológica de Lima Sur (*1) Lima Lima,-12.2142873,-76.932559
33,34,Universidad Nacional José María Arguedas,Apurímac,Andahuaylas,Ley N° 28372,01/11/2004,Res. N° 035-2017-SUNEDU/CD,02/10/2017,Universidad publica,,,Universidad Nacional José María Arguedas Apurímac Andahuaylas,-13.6572948,-73.3879058
34,35,Universidad Nacional de Moquegua,Moquegua,Mariscal Nieto,Ley N° 28520,24/05/2005,Res. N° 103-2017-SUNEDU/CD,06/01/2018,Universidad publica,,,Universidad Nacional de Moquegua Moquegua Mariscal Nieto,-17.190051,-70.93658599999999
35,36,Universidad Nacional de Juliaca,Puno,San Román,Ley N° 29074,25/07/2007,Res. N° 097-2018-SUNEDU/CD,26/08/2018,Universidad publica,,,Universidad Nacional de Juliaca Puno San Román,-15.4881271,-70.1497667
36,37,Universidad Nacional de Jaén,Cajamarca,Jaén,Ley N° 29304,20/12/2008,Res. N° 002-2018-SUNEDU/CD,14/01/2018,Universidad publica,,,Universidad Nacional de Jaén Cajamarca Jaén,-5.7084515,-78.8079421
37,38,Universidad Nacional de Frontera,Piura,Sullana,Ley N° 29568,06/08/2010,Res. N° 086-2019-SUNEDU/CD,06/04/2019,Universidad publica,,,Universidad Nacional de Frontera Piura Sullana,-4.909966,-80.72844239999999
38,39,Universidad Nacional Autónoma de Chota,Cajamarca,Chota,Ley N° 29531,12/05/2010,Res. N° 160-2018-SUNEDU/CD,08/12/2018,Universidad publica,,,Universidad Nacional Autónoma de Chota Cajamarca Chota,-6.555663699999999,-78.6381006
39,40,Universidad Nacional de Barranca,Lima,Barranca,Ley N° 29553,07/07/2010,Res. N° 047-2018-SUNEDU/CD,24/05/2018,Universidad publica,,,Universidad Nacional de Barranca Lima Barranca,-10.7543083,-77.7582582
40,41,Universidad Nacional de Cañete,Lima,Cañete,Ley N° 29488,23/12/2009,Res. N° 116-2018-SUNEDU/CD,12/09/2018,Universidad publica,,,Universidad Nacional de Cañete Lima Cañete,-13.0731392,-76.3678583
41,42,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Amazonas,Bagua,Ley N° 29614,18/11/2010,Res. N° 095-2018-SUNEDU/CD,"14,/08/018",Universidad publica,,,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua Amazonas Bagua,-5.631812099999999,-78.5351621
42,43,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,Junín,Chanchamayo,Ley N° 29616,19/11/2010,Res. N° 033-2018-SUNEDU/CD,23/03/2018,Universidad publica,,,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa Junín Chanchamayo,-10.92725,-74.87096149999999
43,44,Universidad Nacional Intercultural de Quillabamba,Cusco,La Convención,Ley N° 29620,01/12/2010,Res. N° 085-2019-SUNEDU/CD,02/07/2019,Universidad publica,,,Universidad Nacional Intercultural de Quillabamba Cusco La Convención,-12.8568505,-72.6917239
44,45,Universidad Nacional Autónoma de Alto Amazonas,Loreto,Alto Amazonas,Ley N° 29649,11/01/2011,Res. N° 062-2018-SUNEDU/CD,29/06/2018,Universidad publica,,,Universidad Nacional Autónoma de Alto Amazonas Loreto Alto Amazonas,-5.897501099999999,-76.1287931
45,46,Universidad Nacional Autónoma Altoandina de Tarma,Junín,Tarma,Ley N° 29652,14/01/2011,Res. N° 142-2018-SUNEDU/CD,19/10/2018,Universidad publica,,,Universidad Nacional Autónoma Altoandina de Tarma Junín Tarma,-11.4199899,-75.6892578
46,47,Universidad Nacional Autónoma de Huanta,Ayacucho,Huanta,Ley N° 29658,28/01/2011,Res. N° 014-2017-SUNEDU/CD,19/04/2017,Universidad publica,,,Universidad Nacional Autónoma de Huanta Ayacucho Huanta,-12.9399318,-74.2436828
47,48,Universidad Nacional Tecnológica de San Juan de Lurigancho,Lima,Lima,Ley N° 29659,28/01/2011,,,Universidad publica,,,Universidad Nacional Tecnológica de San Juan de Lurigancho Lima Lima,-11.9833053,-77.0094738
48,49,Universidad Autónoma Municipal de Los Olivos,Lima,Lima,Ley N° 29668,10/03/2011,,,Universidad publica,,,Universidad Autónoma Municipal de Los Olivos Lima Lima,-12.0003522,-77.08339029999999
49,50,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Huancavelica,Tayacaja,Ley N° 29716,23/06/2011,Res. N° 016-2019-SUNEDU/CD,15/02/2019,Universidad publica,,,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo Huancavelica Tayacaja,-12.3606436,-74.8379163
50,51,Universidad Nacional Ciro Alegría,La Libertad,Sanchez Carrión,Ley N° 29756,17/07/2011,,,Universidad publica,,,Universidad Nacional Ciro Alegría La Libertad Sanchez Carrión,-7.816460999999999,-78.0452048
0,1,Pontificia Universidad Católica del Perú,Lima,Lima,Decreto Supremo,24/03/1917,,06/07/2016,Universidad privada,Res. N° 025-2016-SUNEDU/CD,Asociativa,Pontificia Universidad Católica del Perú Lima Lima,-12.069512,-77.0793592
1,2,Universidad Peruana Cayetano Heredia,Lima,Lima,Decreto Supremo N° 18,22/09/1961,,27/07/2016,Universidad privada,Res. N° 029-2016-SUNEDU/CD,Asociativa,Universidad Peruana Cayetano Heredia Lima Lima,-12.0239773,-77.0565049
2,3,Universidad Católica de Santa María,Arequipa,Arequipa,Decreto Supremo N° 24,06/12/1961,,31/12/2017,Universidad privada,Res. N° 102-2017-SUNEDU/CD,Asociativa,Universidad Católica de Santa María Arequipa Arequipa,-16.4061786,-71.5476298
3,4,Universidad del Pacífico,Lima,Lima,Decreto Supremo N° 08,28/02/1962,,27/07/2016,Universidad privada,Res. N° 030-2016-SUNEDU/CD,Asociativa,Universidad del Pacífico Lima Lima,-12.0837969,-77.048806
4,5,Universidad de Lima,Lima,Lima,Decreto Supremo N° 23,25/04/1962,,12/07/2016,Universidad privada,Res. N° 027-2016-SUNEDU/CD,Asociativa,Universidad de Lima Lima Lima,-12.0847243,-76.9710095
5,6,Universidad de San Martín de Porres,Lima,Lima,Decreto Supremo N° 26,17/05/1962,,11/08/2017,Universidad privada,Res. N° 024-2017-SUNEDU/CD,Asociativa,Universidad de San Martín de Porres Lima Lima,-12.1050193,-77.01736660000002
6,7,Universidad Femenina del Sagrado Corazón,Lima,Lima,Decreto Supremo N° 71,24/12/1962,,15/12/2016,Universidad privada,Res. N° 039-2016-SUNEDU/CD,Asociativa,Universidad Femenina del Sagrado Corazón Lima Lima,-12.0716313,-76.9650529
7,8,Universidad Inca Garcilaso de la Vega,Lima,Lima,Decreto Supremo N° 74,21/12/1964,,,Universidad privada,,Asociativa,Universidad Inca Garcilaso de la Vega Lima Lima,-12.0608746,-77.0392569
8,9,Universidad de Piura,Piura,Piura,Ley N° 17040,02/06/1968,,27/01/2017,Universidad privada,Res. N° 003-2017-SUNEDU/CD,Asociativa,Universidad de Piura Piura Piura,-5.1766923,-80.6346434
9,10,Universidad Ricardo Palma,Lima,Lima,Decreto Ley N° 17723,01/07/1969,,31/12/2016,Universidad privada,Res. N° 040-2016-SUNEDU/CD,Asociativa,Universidad Ricardo Palma Lima Lima,-12.1318477,-76.9796467
10,11,Universidad Andina Néstor Cáceres Velásquez,Puno,San Román,Ley N° 23738,29/12/1983,,,Universidad privada,,Asociativa,Universidad Andina Néstor Cáceres Velásquez Puno San Román,-15.532748,-70.118667
11,12,Universidad Peruana Los Andes,Junín,Huancayo,Ley N° 23757,30/12/1983,,,Universidad privada,,Asociativa,Universidad Peruana Los Andes Junín Huancayo,-12.0400383,-75.1924434
